Tier_Label,Metric,Value
Top Seeds (1-16),Win %,78.8
Top Seeds (1-16),Conf Strength,76.5
Top Seeds (1-16),Road Win %,39.6
Top Seeds (1-16),Avg NET Rank,97.4
Top Seeds (1-16),Clean Record,94.3
Low Seeds (17-68),Win %,69.1
Low Seeds (17-68),Conf Strength,63.5
Low Seeds (17-68),Road Win %,47.9
Low Seeds (17-68),Avg NET Rank,82.4
Low Seeds (17-68),Clean Record,81.4
Non-Tournament,Win %,61.5
Non-Tournament,Conf Strength,53.6
Non-Tournament,Road Win %,63.5
Non-Tournament,Avg NET Rank,48.6
Non-Tournament,Clean Record,65.2
